Ratio Edge Cases
============================================================

BAJAJ-AUTO | Mar 2018 | ROCE Difference = 9.91 | Category: Version Difference
BAJAJ-AUTO | Mar 2018 | ROE Difference = 5.84 | Category: Version Difference
BAJAJ-AUTO | Mar 2019 | ROCE Difference = 11.25 | Category: Version Difference
BAJAJ-AUTO | Mar 2019 | ROE Difference = 5.29 | Category: Version Difference
BAJAJ-AUTO | Mar 2019 | ROCE Difference = 11.25 | Category: Version Difference
BAJAJ-AUTO | Mar 2019 | ROE Difference = 5.29 | Category: Version Difference
BAJAJ-AUTO | Mar 2020 | ROCE Difference = 10.05 | Category: Version Difference
BAJAJ-AUTO | Mar 2020 | ROCE Difference = 10.05 | Category: Version Difference
BAJAJ-AUTO | Mar 2021 | ROCE Difference = 15.47 | Category: Formula Discrepancy
BAJAJ-AUTO | Mar 2021 | ROE Difference = 8.69 | Category: Version Difference
BAJAJ-AUTO | Mar 2021 | ROCE Difference = 15.47 | Category: Formula Discrepancy
BAJAJ-AUTO | Mar 2021 | ROE Difference = 8.69 | Category: Version Difference
BAJAJ-AUTO | Mar 2022 | ROCE Difference = 15.96 | Category: Formula Discrepancy
BAJAJ-AUTO | Mar 2022 | ROE Difference = 5.85 | Category: Version Difference
BAJAJ-AUTO | Mar 2022 | ROCE Difference = 15.96 | Category: Formula Discrepancy
BAJAJ-AUTO | Mar 2022 | ROE Difference = 5.85 | Category: Version Difference
BAJAJ-AUTO | Mar 2023 | ROCE Difference = 11.57 | Category: Version Difference
BAJAJ-AUTO | Mar 2023 | ROE Difference = 5.86 | Category: Version Difference
BAJAJ-AUTO | Mar 2023 | ROCE Difference = 11.57 | Category: Version Difference
BAJAJ-AUTO | Mar 2023 | ROE Difference = 5.86 | Category: Version Difference
BAJAJ-AUTO | Mar 2024 | ROCE Difference = 5.11 | Category: Version Difference
BAJAJ-AUTO | Mar 2024 | ROCE Difference = 5.11 | Category: Version Difference
BAJAJFINSV | Mar 2013 | ROE Difference = 16.66 | Category: Formula Discrepancy
BAJAJFINSV | Mar 2014 | ROCE Difference = 5.56 | Category: Version Difference
BAJAJFINSV | Mar 2014 | ROE Difference = 11.81 | Category: Version Difference
BAJAJFINSV | Mar 2015 | ROCE Difference = 6.41 | Category: Version Difference
BAJAJFINSV | Mar 2015 | ROE Difference = 10.00 | Category: Version Difference
BAJAJFINSV | Mar 2016 | ROCE Difference = 7.57 | Category: Version Difference
BAJAJFINSV | Mar 2016 | ROE Difference = 8.69 | Category: Version Difference
BAJAJFINSV | Mar 2017 | ROCE Difference = 7.62 | Category: Version Difference
BAJAJFINSV | Mar 2017 | ROE Difference = 9.64 | Category: Version Difference
BAJAJFINSV | Mar 2018 | ROCE Difference = 8.62 | Category: Version Difference
BAJAJFINSV | Mar 2018 | ROE Difference = 8.67 | Category: Version Difference
BAJAJFINSV | Mar 2019 | ROCE Difference = 8.96 | Category: Version Difference
BAJAJFINSV | Mar 2019 | ROE Difference = 10.92 | Category: Version Difference
BAJAJFINSV | Mar 2020 | ROCE Difference = 9.62 | Category: Version Difference
BAJAJFINSV | Mar 2020 | ROE Difference = 7.43 | Category: Version Difference
BAJAJFINSV | Mar 2021 | ROCE Difference = 9.18 | Category: Version Difference
BAJAJFINSV | Mar 2021 | ROE Difference = 8.84 | Category: Version Difference
BAJAJFINSV | Mar 2022 | ROCE Difference = 10.49 | Category: Version Difference
BAJAJFINSV | Mar 2022 | ROE Difference = 8.94 | Category: Version Difference
BAJAJFINSV | Mar 2023 | ROCE Difference = 9.59 | Category: Version Difference
BAJAJFINSV | Mar 2023 | ROE Difference = 14.59 | Category: Version Difference
BAJAJFINSV | Mar 2024 | ROCE Difference = 9.43 | Category: Version Difference
BAJAJFINSV | Mar 2024 | ROE Difference = 14.13 | Category: Version Difference
BAJAJHLDNG | Mar 2013 | ROCE Difference = 9.99 | Category: Version Difference
BAJAJHLDNG | Mar 2014 | ROCE Difference = 9.77 | Category: Version Difference
BAJAJHLDNG | Mar 2015 | ROCE Difference = 9.49 | Category: Version Difference
BAJAJHLDNG | Mar 2016 | ROCE Difference = 10.29 | Category: Version Difference
BAJAJHLDNG | Mar 2017 | ROCE Difference = 9.58 | Category: Version Difference
BAJAJHLDNG | Mar 2018 | ROCE Difference = 11.69 | Category: Version Difference
BAJAJHLDNG | Mar 2019 | ROCE Difference = 11.81 | Category: Version Difference
BAJAJHLDNG | Mar 2020 | ROCE Difference = 12.02 | Category: Version Difference
BAJAJHLDNG | Mar 2021 | ROCE Difference = 12.16 | Category: Version Difference
BAJAJHLDNG | Mar 2022 | ROCE Difference = 12.25 | Category: Version Difference
BAJAJHLDNG | Mar 2022 | ROE Difference = 5.17 | Category: Version Difference
BAJAJHLDNG | Mar 2023 | ROCE Difference = 12.24 | Category: Version Difference
